Артикул,01.06.2020,01.07.2020,01.08.2020,01.09.2020,01.10.2020,01.11.2020,01.12.2020,01.01.2021,01.02.2021,01.03.2021,01.04.2021,01.05.2021,01.06.2021,01.07.2021,01.08.2021,01.09.2021,01.10.2021,01.11.2021,01.12.2021,01.01.2022,01.02.2022,01.03.2022,01.04.2022,01.05.2022,01.06.2022,01.07.2022,01.08.2022,01.09.2022,01.10.2022,01.11.2022,01.12.2022,01.01.2023,01.02.2023,01.03.2023,01.04.2023,01.05.2023,01.06.2023,01.07.2023,01.08.2023
1,0,0,1,0,0,2,2,9,40,8,2,0,0,0,0,6,4,13,4,16,26,3,2,0,2,0,2,1,0,0,0,17,17,30,0,3,5,9,0
2,6,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,2,2,0,4,2,1,0,1,0,0,1,0,2,0,0,0,5,0,2,0
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,2,4,0
4,1,0,0,0,0,1,1,0,2,1,2,0,2,0,0,2,4,0,3,1,2,0,5,0,5,1,0,3,1,1,0,1,0,0,0,0,0,0,3
5,13,18,14,15,13,4,7,7,3,5,5,15,13,35,22,10,14,6,3,5,2,6,6,10,7,18,13,15,3,1,1,6,7,5,3,7,16,8,4
6,6,11,6,15,4,9,21,29,41,28,6,11,3,7,6,2,14,20,21,30,32,10,6,4,5,5,9,8,11,2,6,18,33,28,24,5,4,7,8
7,0,0,0,0,0,0,0,0,1,4,3,1,4,0,0,1,0,0,0,3,2,0,3,3,0,0,0,0,0,1,1,2,0,1,3,0,1,1,1
8,2,3,5,2,1,6,15,7,23,20,12,4,6,5,4,6,7,2,22,9,19,16,10,0,8,6,10,15,10,1,3,10,26,13,6,9,9,0,6
9,2,4,0,2,7,0,1,0,2,4,0,5,2,1,4,0,0,3,2,2,4,3,1,2,0,0,1,0,2,3,1,0,5,2,2,0,1,0,0
10,0,0,4,5,1,0,6,3,7,6,7,0,0,6,0,13,4,1,1,0,14,10,0,2,3,1,1,0,3,4,1,7,6,2,0,2,2,0,4
11,13,16,9,10,15,4,6,9,19,13,23,26,33,28,19,20,14,24,22,21,19,29,15,23,24,23,25,11,10,21,24,6,17,27,4,6,3,15,9
12,1,2,1,0,3,2,0,3,4,5,6,1,1,0,0,0,1,0,3,1,5,0,1,3,0,7,1,0,0,0,2,1,3,9,1,0,1,1,0
13,2,0,0,0,0,2,4,6,6,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,10,0,0,0
14,13,24,21,21,17,9,13,6,9,31,26,40,17,12,18,28,20,4,24,21,30,10,26,25,20,9,18,20,14,13,20,3,19,49,14,21,14,12,10
15,48,63,44,51,54,46,114,19,18,44,44,41,46,52,62,56,69,79,78,29,38,26,28,28,29,36,34,18,20,9,6,4,5,10,3,18,2,13,9
16,31,40,27,39,39,31,37,13,12,33,24,24,30,32,29,36,38,40,36,17,30,16,12,18,21,7,3,1,7,3,3,3,2,6,2,1,2,15,7
