Артикул,01.06.2020,01.07.2020,01.08.2020,01.09.2020,01.10.2020,01.11.2020,01.12.2020,01.01.2021,01.02.2021,01.03.2021,01.04.2021,01.05.2021,01.06.2021,01.07.2021,01.08.2021,01.09.2021,01.10.2021,01.11.2021,01.12.2021,01.01.2022,01.02.2022,01.03.2022,01.04.2022,01.05.2022,01.06.2022,01.07.2022,01.08.2022,01.09.2022,01.10.2022,01.11.2022,01.12.2022,01.01.2023,01.02.2023,01.03.2023,01.04.2023,01.05.2023,01.06.2023,01.07.2023,01.08.2023
1,,10,15,,1,,,,20,,,,,,,31,,,,,,10,,4,,,,6,,,,,31,5,,,,,10
2,,,,30,,,,,48,10,,,120,,,,,,,,,,,,96,,,,,,,,10,37,,,,,
3,,50,71,,1,30,,,,56,,,1,,13,72,,20,15,1,,30,,,,,,50,8,,70,,,85,41,,,75,105
4,,242,310,40,,90,,312,234,100,50,20,12,,252,,40,,68,,,12,,,,,150,50,20,10,10,,286,296,123,40,32,,200
5,,,4,,,1,,,4,,,,,4,2,7,,,4,,,2,,,,,,2,1,,,4,,15,16,,5,,2
6,31,20,,,,,10,24,17,,99,26,67,,,4,,,,58,30,28,45,83,20,,,,,6,10,,10,40,22,70,20,44,4
7,113,,3,,,,6,47,18,14,110,52,215,74,14,6,,,,101,28,2,166,793,199,38,,,,40,,39,3,53,183,20,121,12,
8,10,90,,32,10,26,,4,46,8,31,,20,20,3,36,4,,,66,10,24,40,66,60,,78,18,14,,10,,6,80,206,20,36,40,
9,29,6,56,37,6,,6,76,26,79,21,20,59,114,8,120,,,13,50,32,7,52,50,12,6,4,114,12,10,50,,12,52,4,16,6,16,8
10,,6,4,2,10,8,,,21,58,11,28,35,101,36,,,4,4,72,1,30,12,60,76,,58,12,,,,,68,219,22,14,206,,
11,30,,,,10,6,,,,,135,33,161,44,56,6,,,1,174,12,,63,58,19,79,23,,,40,,14,5,70,35,35,39,50,70
12,41,40,20,,,,,42,3,20,92,,240,78,30,162,5,,,32,21,,90,11,52,320,2,4,,20,26,,,21,130,61,23,,
13,10,10,6,,,,,,,,82,,184,20,6,,,25,,4,,6,26,15,15,,29,,,,,,16,10,240,152,47,20,17
14,111,70,2,,,,,,30,,110,44,200,4,40,50,,,,146,,,20,4,66,10,6,,,,80,14,,48,305,77,,6,
15,75,30,64,,,50,,,200,,32,,242,10,,,,,,66,,,40,,59,8,,,,,80,10,,,24,79,30,24,
16,10,12,,,14,,,30,,26,36,56,56,16,,,,,16,16,12,,12,31,16,,,,,,40,,,20,,38,34,9,
17,25,30,24,,,,,24,24,26,5,,38,,,8,,,,4,150,24,5,34,32,10,,,,,,,,84,134,5,7,,
18,,,,,,,,,,4,,36,3,4,,,,,,,10,,,14,2,,,,,,10,,,,,12,6,,
19,5,4,,,,,,,,,,2,,7,,,,,,6,,,,2,,,,,,,8,,16,,4,,3,,
20,16,,,,,,,16,10,10,,10,,,,,,,,8,8,8,,,,,2,,,,,,,4,12,4,4,12,22
21,2,16,36,,24,,92,48,138,78,,24,,48,54,4,20,100,34,24,96,30,,,,,24,116,24,,,,84,32,40,153,40,,168
22,67,2,70,,,,,,70,285,162,152,165,54,,,,,70,151,145,130,260,209,6,6,,,,,72,120,,,280,219,70,14,
23,8,2,,,,,,,,,16,,6,4,4,2,,,,8,,,2,13,21,2,,,,,14,,,6,8,6,3,,
24,2,,,,,2,,2,6,2,,,,,,,,,,2,2,2,4,,,2,1,,,,2,,,1,,2,,,1
25,486,272,,130,148,130,164,202,296,30,60,59,296,180,190,104,74,206,702,164,96,1,,138,130,,127,68,26,37,96,,86,56,,145,30,30,30
26,1,,8,24,33,16,,8,24,32,56,19,16,33,8,35,8,,,48,52,8,16,9,,16,,,16,,8,18,8,16,16,8,16,,8
27,15,,,,,,,20,,10,50,75,16,,,,,,,4,10,,24,70,,30,,,,,,,20,30,16,,,,8
28,,,,,,,20,,10,,10,26,16,,,,,,,2,10,,16,28,,,,,,,,,1,70,16,,,,
29,21,43,7,42,28,21,22,35,48,35,37,,7,38,28,21,29,22,28,14,39,,,44,,7,,14,14,28,7,7,7,13,,7,,14,7
30,,3,,,,20,,,,90,,,200,,,,,,,2,130,,6,,,,,,,,,6,,20,150,50,,,
31,30,111,30,25,,100,,,130,40,120,,250,,,,,,100,,,,100,75,,,75,,,,,,6,159,162,43,,,
32,2,,20,,4,2,,4,,,4,4,,,4,,,,8,4,,,,,4,,,4,4,,,4,,,4,2,,,4
33,,,12,8,,,,141,84,108,70,6,,,25,31,1,,2,14,40,6,4,,2,,70,6,8,,,,,16,,,2,,280
34,4,2,2,4,4,10,8,6,50,16,,5,1,6,2,14,2,,10,16,36,7,2,,4,4,2,,6,4,4,12,22,10,8,16,6,4,6
35,10,3,,,2,,104,2,8,7,5,15,2,7,15,3,2,,2,5,3,6,6,,,,3,-2,2,,,10,9,7,,1,6,72,
36,6,,2,,2,2,4,,2,4,3,,2,,2,,,2,4,,10,2,2,10,2,,,,,,4,4,1,2,3,,,,
37,4,6,2,42,74,,8,9,38,10,74,8,4,4,46,58,8,4,74,13,282,30,,1,,,51,-4,4,,,16,50,38,142,110,1,2,3
38,6,,16,8,,2,,,6,1,4,,8,4,2,2,2,,,1,5,,2,8,3,,5,9,1,,4,,5,28,,,,4,2
39,,1,24,,24,23,36,,152,155,,,2,1,4,3,,,85,96,106,120,1,,28,,24,,51,,15,3,120,90,132,49,24,20,20
40,,,4,,,,,,,,20,,4,,8,,,,2,,,,4,,,,,,,,50,,,24,,,3,,
41,,,,,,,,,,,,3,3,,,8,,,,1,,,,,10,,,4,8,,,,,,1,,1,,
42,,4,2,,4,8,8,4,10,2,,,,3,8,,11,2,12,4,14,8,6,,,,2,2,4,6,,3,2,8,2,,2,4,
43,7,8,1,6,4,1,15,10,6,12,16,5,7,4,5,5,4,,71,25,77,127,14,6,39,2,63,,2,3,3,42,11,82,7,2,7,1,132
44,4,12,,,,4,15,6,35,22,,9,1,,1,1,10,,6,4,23,18,3,2,8,,,,6,1,4,16,9,22,1,4,2,5,59
45,,2,,,,,,26,,,2,1,1,,,5,,1,12,,4,8,4,,4,,,,,,,4,10,24,4,16,7,,
46,,,1,,,,,,,,2,2,8,,,,,,,,2,2,,2,,,,,,,,,2,2,4,2,,,
47,,,,,,,,,,,,,,,,30,,,,,,,54,,10,,,,,,,,,,8,,66,,
48,12,,1,,,,,,,,1,,62,,,,1,,,1,,,,,,,,,3,,,,,3,,,3,3,
49,,5,,,,,,,,2,2,,,2,,,,,,4,,,,,2,,4,,2,,,2,2,,2,,2,,
50,28,,4,,,,,,12,2,18,44,12,,2,,,,,10,4,,,4,12,,,,,,,,8,,5,,4,4,
51,4,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,8,,2,2,,
52,1,8,24,32,32,44,,8,40,32,60,34,16,49,26,65,16,2,18,54,75,9,16,9,1,32,-8,18,16,8,,18,24,34,16,16,16,8,16
53,,,,,,,18,12,48,57,12,,,,2,2,,,,,48,,12,,,,,,,12,,,1,70,,,,24,12
54,,108,,25,,1,5,,130,130,,,150,,,,,,,,230,,,,,,75,,,,,50,,154,330,,,,
55,12,68,,56,,,98,14,2,28,18,44,,52,40,14,,28,,48,26,,,22,28,12,3,,,28,,,56,68,42,75,12,73,
56,139,218,195,146,174,207,359,243,465,229,287,321,183,218,308,175,171,221,356,265,342,124,54,194,13,7,81,114,30,76,129,27,195,261,144,167,140,42,106
57,9,1,3,1,4,,,,7,2,3,3,5,7,2,2,4,,1,,4,,,1,5,2,1,4,,,,,6,18,4,1,,3,
58,160,474,204,335,340,271,744,310,284,214,120,396,240,232,360,274,338,271,506,270,560,56,190,44,160,,130,212,2,,92,30,75,30,90,30,238,62,84
